,#image_name,norad_number,name,type,designation,lat [deg],lon [deg],height [m],t_start [UTC],t_end [UTC],range [m],ang_vel [deg/s],phase angle [deg],offset angle [deg],offset [px],TLE age [days], rho, theta, scale, sigma,RCS,Class,Shape,FirstEpoch,NEXP,Brightness,StarMag,ObjMag,EXPTimes,Counts,Albedos,PhaseCorrections,Latitude,Longitude,RaCenter,DecCenter,RollAngle,EarthAngle,SunAngle,MoonAngle,TimeDifference,Height,Diameter,Span,Width,SectMin,SectMax,Type,ObservationTime
2410,CH_PR100025_TG007002_V0300_375.fits,48297,STARLINK-2544,PAYLOAD,21036X,39.01,-159.895,550686.0,2022-05-26T15:15:15.056Z,2022-05-26T15:15:15.136Z,1207327.0,0.6902,3.88,1.05,30.9,0.1563015459838866,146.5,1.5707964,13.732973791063774,79.06553288701485,13.5615,Payload,Box + 1 Pan,2021-05-05,1,348311.30767357844,10.91,-12.255496001213888,60.0,4916285.200594544,6.219862725095736,0.9988502369495,42.119087,-146.58604,242.573745727539,-24.9903507232666,49.175358,11.391315463763938,176.11366655827652,136.32156422663508,386.0,0.1,,8.86,3.7,0.2311,23.657,Long,2022-05-26T15:15:45.055783
2411,CH_PR100025_TG007002_V0300_393.fits,11788,COSMOS 1176,PAYLOAD,80034A,-14.743,39.634,950960.0,2022-05-26T15:56:16.197Z,2022-05-26T15:56:16.793Z,1422205.0,0.1071,3.88,1.13,6.6,-0.104402016000547,50.0,2.0943952,13.732973791063774,29.084916521356792,6.585563600087603,Payload,Cone + Cyl,1980-04-29,1,22105.30141259784,10.91,-0.2597351666698451,60.0,5872952.141004123,0.1465187015256475,0.998852732461369,-11.9996195,28.885546,242.573745727539,-24.9903507232666,258.95462,27.64340406625288,176.11788802611554,135.8655936444689,15367.0,5.8,1.3,5.8,,1.3273228961416876,7.655937961518625,Long,2022-05-26T15:56:46.197413
2412,CH_PR100025_TG007002_V0300_410.fits,13589,COSMOS 1410,PAYLOAD,82096A,-82.182,61.561,1522085.0,2022-05-26T16:16:16.753Z,2022-05-26T16:16:17.127Z,1939793.0,0.07996,3.91,0.59,84.1,-0.0250711719407371,75.0,2.443461,13.732973791063774,29.13209398057541,,Payload,,1982-09-24,1,27072.30977641813,10.91,-0.4573351088261645,60.0,4961824.785030438,,0.9988541038040764,-80.22628,-31.086456,242.573745727539,-24.9903507232666,185.88414,40.46668126445396,176.1202097749619,136.98964907848907,14489.0,,,5.84,,4.374353611,13.7824,Short,2022-05-26T16:16:46.753232
2413,CH_PR100025_TG007002_V0300_452.fits,48861,YAOGAN-30 AB,PAYLOAD,21055B,34.472,26.288,599593.0,2022-05-26T17:20:18.535Z,2022-05-26T17:20:18.653Z,1459836.0,0.4667,3.89,0.39,7.1,-0.1191738917388916,24.0,1.6057029,13.732973791063774,36.68861610045217,0.446,Payload,Box + 2 Pan,2021-06-18,1,104601.42147548575,10.91,-8.306367424385126,60.0,4845100.274927652,56.974179834796296,0.9988526692537638,41.597683,16.975431,242.573745727539,-24.9903507232666,311.20355,13.191730502127212,176.1177810460376,136.37586181017926,342.0,0.5,,1.0,0.5,0.25,0.6332350782640924,Short,2022-05-26T17:20:48.534638
2414,CH_PR100025_TG007002_V0300_459.fits,27432,CZ-4B R/B,ROCKET BODY,02024C,8.954,24.001,816052.0,2022-05-26T17:27:18.730Z,2022-05-26T17:27:18.862Z,1809519.0,0.4177,3.88,0.54,11.9,-0.1031520642288773,129.0,1.5358897,13.732973791063774,28.662594763892063,14.535992128527294,Rocket Body,Cyl,2002-05-15,1,9583.43575488002,10.91,-1.9737230007651008,60.0,5002715.32188955,0.2133012529897028,0.9988533935331924,16.399849,10.308043,242.573745727539,-24.9903507232666,286.38434,18.60832381198233,176.11900707922598,136.4596764967432,7316.0,4.932,2.9,4.932,,6.60519855417254,15.754324351746826,Short,2022-05-26T17:27:48.730590
2415,CH_PR100025_TG007002_V0300_470.fits,48981,ONEWEB-0263,PAYLOAD,21060Q,-53.825,10.386,1219487.0,2022-05-26T17:45:19.231Z,2022-05-26T17:45:19.330Z,1496889.0,0.5585,3.91,0.89,56.4,-0.1768723260412598,189.0,1.5358897,13.732973791063774,28.5650547104364,2.0317527471925394,Payload,Trap Box + 2 Pan,2021-07-02,1,3466.581126224762,10.91,-0.1672532341989594,60.0,4983790.943162222,0.5069955976976598,0.9988551156477944,-48.44727,-5.9749026,242.573745727539,-24.9903507232666,222.71504,37.37370122124297,176.12192376462357,137.25908606149628,328.0,1.3,,5.0,1.0,0.6964194138592059,4.771086313655462,Long,2022-05-26T17:45:49.231435
2416,CH_PR100025_TG007003_V0300_104.fits,19922,SL-8 R/B,ROCKET BODY,89028B,-59.623,-48.495,987086.0,2022-06-16T08:35:03.838Z,2022-06-16T08:35:03.955Z,1690145.0,0.4731,19.99,1.14,37.1,0.3389481496936036,125.5,1.6057029,14.5440176729261,24.161386109415343,14.646104951035616,Rocket Body,Cyl,1989-04-04,1,7013.835580435907,10.91,-1.5968096785393977,60.0,4965902.855132569,0.1588404205551145,0.9698591968003848,-51.204403,-28.678234,242.573745727539,-24.9903507232666,147.84251,24.84982229156956,160.0043179515632,45.5260002848103,12126.0,6.57,2.4,6.57,,4.523893421169302,16.404128617092066,Long,2022-06-16T08:35:33.837913
2417,CH_PR100025_TG007003_V0300_106.fits,52008,S4 CROSSOVER/ASTRA,PAYLOAD,22026A,14.125,-47.857,529706.0,2022-06-16T08:52:04.311Z,2022-06-16T08:52:04.345Z,475901.0,1.66,19.98,1.84,134.0,0.3592221499546983,94.0,1.43117,14.5440176729261,73.10180781468678,0.08,Payload,Box,2022-03-15,1,6919.747186433927,10.91,-4.577524019507322,60.0,5217968.706086416,7.595941373217463,0.969822171408212,10.113506,-44.72072,242.573745727539,-24.9903507232666,89.11979,0.2274126404415354,159.99191396242188,45.21868559921933,93.0,0.3,,0.3,0.2,0.04,0.0938083151964686,Short,2022-06-16T08:52:34.310752
2418,CH_PR100025_TG007003_V0300_282.fits,48151,STARLINK-2503,PAYLOAD,21027BM,-24.986,-123.045,555692.0,2022-06-16T13:40:12.316Z,2022-06-16T13:40:12.402Z,1270344.0,0.6422,20.2,0.27,28.2,0.9014906109759296,50.0,1.5358897,14.5440176729261,22.966765381566585,13.5615,Payload,Box + 1 Pan,2021-04-13,1,13017.269951944108,10.91,-3.899837581990752,60.0,4982769.343008508,0.2434709315142963,0.969261324229192,-20.846682,-112.13765,242.573745727539,-24.9903507232666,119.9893,11.142485541890997,159.80491640406234,48.365024435139325,429.0,0.1,,8.86,3.7,0.2311,23.657,Long,2022-06-16T13:40:42.316154
2419,CH_PR100025_TG007101_V0300_101.fits,29107,CLOUDSAT,PAYLOAD,06016A,52.537,153.317,690956.0,2022-03-28T17:14:43.601Z,2022-03-28T17:14:45.518Z,3721721.0,0.02896,57.66,1.56,17.0,-0.1811342631351499,29.0,1.6755161,13.79681886424887,19.9103631965697,10.133933333333331,Payload,Box + 2 Pan,2006-04-28,1,3916.686883163807,10.91,6.275640008553136,60.0,5000386.312264632,0.047748555746067,0.7675325734117164,79.47344,140.01224,242.573745727539,-24.9903507232666,356.70496,8.062156407221783,122.34832961774164,77.44765348527741,5813.0,2.5,,5.1,2.3,5.289999999999999,14.853191997471942,Short,2022-03-28T17:15:13.600707
